      -100           0          10          20          30          40          50          60          70          80          90         100
     1710.00     0.004300    0.004567    0.004572    0.004577    0.004582    0.004587    0.004592    0.004597    0.004602    0.004607    0.004612
     1720.00     0.004277    0.004541    0.004547    0.004554    0.004560    0.004566    0.004573    0.004579    0.004585    0.004592    0.004598
     1730.00     0.004254    0.004515    0.004522    0.004530    0.004538    0.004545    0.004553    0.004561    0.004569    0.004576    0.004584
     1740.00     0.004232    0.004488    0.004497    0.004507    0.004516    0.004525    0.004534    0.004543    0.004552    0.004561    0.004570
     1750.00     0.004209    0.004462    0.004473    0.004483    0.004494    0.004504    0.004514    0.004525    0.004535    0.004546    0.004556
     1760.00     0.004187    0.004436    0.004448    0.004460    0.004471    0.004483    0.004495    0.004507    0.004519    0.004531    0.004542
     1770.00     0.004164    0.004410    0.004423    0.004436    0.004449    0.004463    0.004476    0.004489    0.004502    0.004515    0.004529
     1780.00     0.004142    0.004383    0.004398    0.004413    0.004427    0.004442    0.004456    0.004471    0.004485    0.004500    0.004515
     1790.00     0.004119    0.004357    0.004373    0.004389    0.004405    0.004421    0.004437    0.004453    0.004469    0.004485    0.004501
     1800.00     0.004097    0.004331    0.004348    0.004366    0.004383    0.004400    0.004418    0.004435    0.004452    0.004470    0.004487
     1810.00     0.004074    0.004305    0.004323    0.004342    0.004361    0.004380    0.004398    0.004417    0.004436    0.004454    0.004473
     1820.00     0.004052    0.004279    0.004299    0.004319    0.004339    0.004359    0.004379    0.004399    0.004419    0.004439    0.004459
     1830.00     0.004029    0.004252    0.004274    0.004295    0.004317    0.004338    0.004359    0.004381    0.004402    0.004424    0.004445
     1840.00     0.004006    0.004226    0.004249    0.004272    0.004295    0.004317    0.004340    0.004363    0.004386    0.004408    0.004431
     1850.00     0.003984    0.004200    0.004224    0.004248    0.004272    0.004297    0.004321    0.004345    0.004369    0.004393    0.004417
     1860.00     0.003961    0.004174    0.004199    0.004225    0.004250    0.004276    0.004301    0.004327    0.004352    0.004378    0.004404
     1870.00     0.003939    0.004147    0.004174    0.004201    0.004228    0.004255    0.004282    0.004309    0.004336    0.004363    0.004390
     1880.00     0.003916    0.004121    0.004149    0.004178    0.004206    0.004234    0.004263    0.004291    0.004319    0.004347    0.004376
     1890.00     0.003894    0.004095    0.004125    0.004154    0.004184    0.004214    0.004243    0.004273    0.004303    0.004332    0.004362
     1900.00     0.003871    0.004069    0.004100    0.004131    0.004162    0.004193    0.004224    0.004255    0.004286    0.004317    0.004348
     1910.00     0.003849    0.004043    0.004075    0.004107    0.004140    0.004172    0.004204    0.004237    0.004269    0.004302    0.004334
     1920.00     0.003826    0.004016    0.004050    0.004084    0.004118    0.004151    0.004185    0.004219    0.004253    0.004286    0.004320
     1930.00     0.003803    0.003990    0.004025    0.004060    0.004095    0.004131    0.004166    0.004201    0.004236    0.004271    0.004306
     1940.00     0.003781    0.003964    0.004000    0.004037    0.004073    0.004110    0.004146    0.004183    0.004219    0.004256    0.004292
     1950.00     0.003758    0.003938    0.003975    0.004013    0.004051    0.004089    0.004127    0.004165    0.004203    0.004241    0.004279
     1960.00     0.003736    0.003911    0.003951    0.003990    0.004029    0.004068    0.004108    0.004147    0.004186    0.004225    0.004265
     1970.00     0.003713    0.003885    0.003926    0.003966    0.004007    0.004048    0.004088    0.004129    0.004169    0.004210    0.004251
     1980.00     0.003691    0.003859    0.003901    0.003943    0.003985    0.004027    0.004069    0.004111    0.004153    0.004195    0.004237
     1990.00     0.003668    0.003833    0.003876    0.003919    0.003963    0.004006    0.004050    0.004093    0.004136    0.004180    0.004223
     2000.00     0.003646    0.003806    0.003851    0.003896    0.003941    0.003985    0.004030    0.004075    0.004120    0.004164    0.004209
     2010.00     0.003609    0.003768    0.003813    0.003859    0.003904    0.003949    0.003995    0.004040    0.004085    0.004131    0.004176
     2020.00     0.003571    0.003729    0.003775    0.003821    0.003867    0.003913    0.003959    0.004005    0.004051    0.004097    0.004143
     2030.00     0.003534    0.003690    0.003737    0.003784    0.003831    0.003877    0.003924    0.003971    0.004017    0.004064    0.004111
     2040.00     0.003497    0.003652    0.003699    0.003746    0.003794    0.003841    0.003888    0.003936    0.003983    0.004030    0.004078
     2050.00     0.003460    0.003613    0.003661    0.003709    0.003757    0.003805    0.003853    0.003901    0.003949    0.003997    0.004045
     2060.00     0.003423    0.003575    0.003623    0.003672    0.003720    0.003769    0.003818    0.003866    0.003915    0.003964    0.004012
     2070.00     0.003386    0.003536    0.003585    0.003634    0.003684    0.003733    0.003782    0.003832    0.003881    0.003930    0.003979
     2080.00     0.003349    0.003497    0.003547    0.003597    0.003647    0.003697    0.003747    0.003797    0.003847    0.003897    0.003947
     2090.00     0.003312    0.003459    0.003509    0.003560    0.003610    0.003661    0.003711    0.003762    0.003813    0.003863    0.003914
